"Annotations";"Received in Downtime";"Severity";"Time Created (Europe/Madrid)";"Assigned User";"Type";"Duplicate Count";"Node";"Category";"Responsable";"Instrucción";"Application";"Object";"Title";"Related CI"
"FALSE";"FALSE";"Minor";"2021-05-11T07:14:14.000+0200";"";"AUTO";"4578";"riwmsdbrest02.rib.mercadona.es";"OS_ADM";"";"";"System";"FileSystemSpace:/opt/oracle/gi";"Uso de /opt/oracle/gi al 100.000000 (Umbral: 90)";"riwmsdbrest02.rib.mercadona.es"
"FALSE";"FALSE";"Major";"2021-05-27T09:48:10.000+0200";"";"AUTO";"46";"pvvgl0393.ccv.mercadona.com";"Almacenamiento";"";"";"Sistema";"FileSystemSpace:/opt/itsec";"Uso de /opt/itsec al 83.870000 (Umbral: 80)";"pvvgl0393.ccv.mercadona.com"
"FALSE";"FALSE";"Major";"2021-05-05T17:46:11.000+0200";"";"AUTO";"6143";"lbsyslog01.laba21.mercadona.com";"Almacenamiento";"";"";"System";"FileSystemSpace:/bote";"Uso de /bote al 83.380000 (Umbral: 80)";"lbsyslog01.laba21.mercadona.com"
"FALSE";"FALSE";"Major";"2021-05-21T12:27:52.000+0200";"Francisco José Pulido Ruiz";"AUTO";"1742";"iv1il0121.itg.mercadona.com";"Almacenamiento";"";"";"Sistema";"FileSystemSpace:/home";"Uso de /home al 82.630000 (Umbral: 80)";"iv1il0121.itg.mercadona.com"
"TRUE";"FALSE";"Major";"2021-05-26T22:28:56.000+0200";"Francisco José Pulido Ruiz";"AUTO";"181";"iv1dl0584.itg.mercadona.com";"OS";"";"";"Sistema";"/usr/sbin/xinetd:";"Proceso /usr/sbin/xinetd: no se esta ejecutando ( Total 1 Parametro )";"iv1dl0584.itg.mercadona.com"
"TRUE";"FALSE";"Major";"2021-05-26T22:33:29.000+0200";"Francisco José Pulido Ruiz";"AUTO";"180";"iv1dl0027.itg.mercadona.com";"OS";"";"";"Sistema";"/usr/sbin/xinetd:";"Proceso /usr/sbin/xinetd: no se esta ejecutando ( Total 1 Parametro )";"iv1dl0027.itg.mercadona.com"
"FALSE";"FALSE";"Normal";"2021-05-27T13:36:34.000+0200";"";"AUTO";"0";"pvvgw0006.ofidona.net";"Windows_ADM";"";"";"Windows_ADM";"ABWMSBCK03.abwmsdom.local";"WINDOWS - Expiring soon Mercadona issued certificates Warning - Mercadona -";"pvvgw0006.ofidona.net"
"FALSE";"FALSE";"Minor";"2021-05-07T17:55:34.000+0200";"";"MANUAL";"120";"lbcomsrv01.labadona.net";"Windows_ADM";"";"";"Windows_ADM";"lbcomsrv01.labadona.net";"Workflow Initialization: Failed to start a workflow that runs a process or script";"lbcomsrv01.labadona.net"
"FALSE";"FALSE";"Major";"2021-05-07T17:48:06.000+0200";"";"MANUAL";"240";"lbcomsrv01.labadona.net";"Windows";"";"";"Windows";"lbcomsrv01.labadona.net";"MSSQL 2016: Discovery failed";"lbcomsrv01.labadona.net"
"FALSE";"FALSE";"Normal";"2021-05-26T08:56:38.000+0200";"";"";"151";"sw11.fri.vit.mercadona.es";"Red_ADM";"";"";"SNMPTraps";"-229";"The sensor value crossed the threshold 
        listed in entSensorThresholdTable.

        This notification is generated once each time
        the sensor value crosses the threshold.
        
        The agent implementation guarantees prompt, timely
        evaluation of threshold and generation of this
        notification.
         - 
[1] .1.3.6.1.4.1.9.9.91.1.2.1.1.4.1096.3 (Integer): -190 
[2] .1.3.6.1.4.1.9.9.91.1.1.1.1.4.1096 (Integer): -229 
[3] .1.3.6.1.2.1.47.1.1.1.1.7.1096 (OctetString): Gi1/1/2 Receive Power Sensor 
[4] .1.3.6.1.2.1.47.1.1.1.1.7.1096 (OctetString): GigabitEthernet1/1/2 Receive Power Sensor 
[5] .1.3.6.1.4.1.9.9.91.1.1.1.1.2.1096 (Integer): 9 
[6] .1.3.6.1.4.1.9.9.91.1.1.1.1.1.1096 (Integer): 14 
[7] .1.3.6.1.4.1.9.9.91.1.1.1.1.3.1096 (Integer): 1 ";"sw11.fri.vit.mercadona.es"
"TRUE";"FALSE";"Critical";"2021-05-27T08:11:06.000+0200";"agarcsim";"AUTO";"155";"abfwmsvc04.abwmsdom.local";"Almacen_Automatico";"TI Central";"AP-A4100";"PSSM volume calculation";"bvolopmd";"[WINDOWS] El Proceso bvolopmd no esta corriendo";"abfwmsvc04.abwmsdom.local"
"FALSE";"FALSE";"Minor";"2021-05-08T08:36:41.000+0200";"";"MANUAL";"1845";"iv1iw0117.integracion.net";"Windows_ADM";"";"";"Windows_ADM";"iv1iw0117.integracion.net";"MSSQL 2016: Monitoring warning";"iv1iw0117.integracion.net"
"FALSE";"FALSE";"Normal";"2021-05-26T08:56:22.000+0200";"";"";"172";"swpuerta.sec.ant.mercadona.es";"Red_ADM";"";"";"SNMPTraps";"-220";"The sensor value crossed the threshold 
        listed in entSensorThresholdTable.

        This notification is generated once each time
        the sensor value crosses the threshold.
        
        The agent implementation guarantees prompt, timely
        evaluation of threshold and generation of this
        notification.
         - 
[1] .1.3.6.1.4.1.9.9.91.1.2.1.1.4.1029.4 (Integer): -210 
[2] .1.3.6.1.4.1.9.9.91.1.1.1.1.4.1029 (Integer): -220 ";"swpuerta.sec.ant.mercadona.es"
"FALSE";"FALSE";"Minor";"2021-05-27T08:22:25.000+0200";"";"AUTO";"63";"pvvil0367.ccv.mercadona.com";"Rendimiento_ADM";"";"";"Sistema";"Memoria";"[Linux] Alarma de Cuello de Botella en Swap: Utilizacion 86.00 %";"pvvil0367.ccv.mercadona.com"
"FALSE";"FALSE";"Normal";"2021-05-27T13:37:22.000+0200";"";"";"0";"pvvgo0015.ofidona.net";"Virtualizacion_ADM";"";"";"vmware";"";"(Sin Formato): ""_OTA_Caida_de_puerto_de_red_fisico_en_host - Event: Restored uplink redundancy to portgroups (27056459)
Summary: Uplink redundancy restored on virtual switch ""vSwitch0"", portgroups: ""Management Network"". Physical NIC vmnic1 is up.
Date: 05/27/2021 11:37:19 AM
Host: albesx03.alb.mercadona.es
Resource pool: Albalat-Cluster
Data center: Oficinas
Arguments:
    eventTypeId = esx.clear.net.redundancy.restored
    objectId = host-397014
    objectName = albesx03.alb.mercadona.es
    1 = ""vSwitch0""
    2 = ""Management Network""
    3 = vmnic1
"" - [
[1] .1.3.6.1.4.1.6876.4.3.308.0 (Integer): 2 
[2] .1.3.6.1.4.1.6876.4.3.304.0 (OctetString): Critical 
[3] .1.3.6.1.4.1.6876.4.3.305.0 (OctetString): Normal 
[4] .1.3.6.1.4.1.6876.4.3.306.0 (OctetString): _OTA_Caida_de_puerto_de_red_fisico_en_host - Event: Restored uplink redundancy to portgroups (27056459)
Summary: Uplink redundancy restored on virtual switch ""vSwitch0"", portgroups: ""Management Network"". Physical NIC vmnic1 is up.
Date: 05/27/2021 11:37:19 AM
Host: albesx03.alb.mercadona.es
Resource pool: Albalat-Cluster
Data center: Oficinas
Arguments:
    eventTypeId = esx.clear.net.redundancy.restored
    objectId = host-397014
    objectName = albesx03.alb.mercadona.es
    1 = ""vSwitch0""
    2 = ""Management Network""
    3 = vmnic1
 
[5] .1.3.6.1.4.1.6876.4.3.307.0 (OctetString): albesx03.alb.mercadona.es ]";"pvvgo0015.ofidona.net"
"FALSE";"FALSE";"Major";"2021-05-21T11:17:15.000+0200";"";"AUTO";"1756";"latdb01.labalm.mercadona.es";"Almacenamiento";"";"";"System";"FileSystemSpace:/boot";"Uso de /boot al 83.920000 (Umbral: 80)";"latdb01.labalm.mercadona.es"
"FALSE";"FALSE";"Critical";"2021-05-17T14:42:15.000+0200";"";"AUTO";"2867";"latdb01.labalm.mercadona.es";"Almacenamiento_ADM";"";"";"System";"FileSystemSpace:/opt/oracle/gi";"Uso de /opt/oracle/gi al 97.750000 (Umbral: 90)";"latdb01.labalm.mercadona.es"
"TRUE";"FALSE";"Major";"2021-05-26T16:02:15.000+0200";"jopuig";"AUTO";"259";"latdb01.labalm.mercadona.es";"Almacenamiento";"Ver Procedimiento";"SA-G0008:https://confluence.mercadona.com/x/MYF4Bw";"System";"FileSystemSpace:/opt/oracle";"Uso de /opt/oracle al 84.140000 (Umbral: 80)";"latdb01.labalm.mercadona.es"
